コード	銘柄名	株数	取得単価	現在値	損益	PER	PBR	ROE	配当利回り	自己資本比率	営業利益率	業種	直近材料	情報源
3391	ツルハホールディングス	未保有	対象外	1972	対象外	21.52	1.02	4.74	2.43	53.11	4.48	小売業	➖【C】 決算待ち、ROE低め。 【ファンダメンタル確認値】現在値1972、PER21.52、PBR1.02、ROE4.74、配当利回り2.43、自己資本比率53.11、営業利益率4.48 【直近材料補強 2026/06/29】バリュエーション: PER21.52倍は中立圏。 クオリティ: ROE4.74%で資本効率改善待ち、営業利益率4.48%で採算改善が課題。 セクター材料: インバウンド・値上げ・PB/EC・人件費がテーマ。既存店売上と粗利率が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=3391 / 株探決算:https://kabutan.jp/stock/finance?code=3391
3401	帝人	未保有	対象外	1631	対象外	6.99	0.86	12.35	3.07	39.61	-7.14	繊維製品	📈【B】 子会社配当受領、低PER・PBR1倍割れ。 【ファンダメンタル確認値】現在値1631、PER6.99、PBR0.86、ROE12.35、配当利回り3.07、自己資本比率39.61、営業利益率-7.14 【直近材料補強 2026/06/29】バリュエーション: PER6.99倍で利益面は割安寄り、PBR0.86倍でPBR1倍割れ改善余地。 クオリティ: ROE12.35%で資本効率は強め、営業利益率-7.14%で採算改善が課題。 株主還元: 配当利回り3.07%でインカム妙味。 セクター材料: ブランド/高機能素材・中国/欧米需要・在庫調整がテーマ。為替と消費減速に注意。 次回チェック: 割安×ROEのバランスが良く、押し目候補として優先監視。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=3401 / 株探決算:https://kabutan.jp/stock/finance?code=3401
3407	旭化成	未保有	対象外	1794	対象外	15.21	1.17	7.66	2.45	50.47	7.52	化学	📈【B】 自己株式取得状況。 【ファンダメンタル確認値】現在値1794、PER15.21、PBR1.17、ROE7.66、配当利回り2.45、自己資本比率50.47、営業利益率7.52 【直近材料補強 2026/06/29】バリュエーション: PER15.21倍は中立圏。 直近イベント解釈: M&A/提携による成長・再編材料。 セクター材料: 半導体/EV/電池材料・中国市況・原燃料価格がテーマ。市況底打ちと利益率回復が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=3407 / 株探決算:https://kabutan.jp/stock/finance?code=3407
3543	コメダホールディングス	未保有	対象外	2746	対象外	18.11	2.51	13.84	2.26	45.17	16.47	卸売業	📈【A】 26/2期収益+21.61、営業利益+6.85。 【ファンダメンタル確認値】現在値2746、PER18.11、PBR2.51、ROE13.84、配当利回り2.26、自己資本比率45.17、営業利益率16.47 【直近材料補強 2026/06/29】バリュエーション: PER18.11倍は中立圏、PBR2.51倍で資産面の割安感は薄い。 クオリティ: ROE13.84%で資本効率は強め、営業利益率16.47%で高収益。 セクター材料: 資源/食品/部材商社・円安・在庫評価・株主還元がテーマ。市況依存とキャッシュ創出力を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=3543 / 株探決算:https://kabutan.jp/stock/finance?code=3543
3656	ＫＬａｂ	未保有	対象外	210	対象外	赤字	1.59	赤字	0.00	79.80	-19.02	情報・通信業	📉【D】 赤字・無配、ゲーム新作材料あり。 【ファンダメンタル確認値】現在値210、PER赤字、PBR1.59、ROE赤字、配当利回り0.00、自己資本比率79.80、営業利益率-19.02 【直近材料補強 2026/06/29】クオリティ: 営業利益率-19.02%で採算改善が課題、自己資本比率79.8%で財務安全性高め。 株主還元: 配当利回り0%で還元妙味は弱め。 直近イベント解釈: 業績悪化/減損系のネガティブ材料。 セクター材料: AI/クラウド/通信値上げ・DX投資・サイバーセキュリティがテーマ。競争環境と投資負担を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=3656 / 株探決算:https://kabutan.jp/stock/finance?code=3656
3661	エムアップホールディングス	未保有	対象外	645	対象外	12.94	4.82	37.28	3.72	29.70	15.78	情報・通信業	📈【A】 高ROE・配当3%台、通期予想公表。 【ファンダメンタル確認値】現在値645、PER12.94、PBR4.82、ROE37.28、配当利回り3.72、自己資本比率29.70、営業利益率15.78 【直近材料補強 2026/06/29】バリュエーション: PER12.94倍は中立圏、PBR4.82倍で資産面の割安感は薄い。 クオリティ: ROE37.28%で資本効率は強め、営業利益率15.78%で高収益。 株主還元: 配当利回り3.72%でインカム妙味。 セクター材料: AI/クラウド/通信値上げ・DX投資・サイバーセキュリティがテーマ。競争環境と投資負担を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=3661 / 株探決算:https://kabutan.jp/stock/finance?code=3661
3807	フィスコ	未保有	対象外	87	対象外	221.45	5.78	2.61	0.00	31.21	0.48	情報・通信業	📉【D】 PER高・ROE低・無配。 【ファンダメンタル確認値】現在値87、PER221.45、PBR5.78、ROE2.61、配当利回り0.00、自己資本比率31.21、営業利益率0.48 【直近材料補強 2026/06/29】バリュエーション: PER221.45倍で期待先行/割高感に注意、PBR5.78倍で資産面の割安感は薄い。 クオリティ: ROE2.61%で資本効率改善待ち、営業利益率0.48%で採算改善が課題。 株主還元: 配当利回り0%で還元妙味は弱め。 セクター材料: AI/クラウド/通信値上げ・DX投資・サイバーセキュリティがテーマ。競争環境と投資負担を確認。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=3807 / 株探決算:https://kabutan.jp/stock/finance?code=3807
3878	巴川製紙所	未保有	対象外	795	対象外	17.32	0.44	2.55	1.89	34.69	4.55	パルプ・紙	➖【C】 PBR低いがROE弱い。 【ファンダメンタル確認値】現在値795、PER17.32、PBR0.44、ROE2.55、配当利回り1.89、自己資本比率34.69、営業利益率4.55 【直近材料補強 2026/06/29】バリュエーション: PER17.32倍は中立圏、PBR0.44倍でPBR1倍割れ改善余地。 クオリティ: ROE2.55%で資本効率改善待ち、営業利益率4.55%で採算改善が課題。 セクター材料: 価格改定・物流/燃料コスト・紙需要減と機能材シフトがテーマ。構造改革の進捗を確認。 次回チェック: PBR1倍割れでもROE低めのため、資本効率改善策が出るか確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=3878 / 株探決算:https://kabutan.jp/stock/finance?code=3878
3920	アイビーシー	未保有	対象外	972	対象外	12.56	2.24	17.86	2.26	63.23	23.50	情報・通信業	📈【B】 ROE良好だが強材料限定。 【ファンダメンタル確認値】現在値972、PER12.56、PBR2.24、ROE17.86、配当利回り2.26、自己資本比率63.23、営業利益率23.50 【直近材料補強 2026/06/29】バリュエーション: PER12.56倍は中立圏。 クオリティ: ROE17.86%で資本効率は強め、営業利益率23.5%で高収益、自己資本比率63.23%で財務安全性高め。 セクター材料: AI/クラウド/通信値上げ・DX投資・サイバーセキュリティがテーマ。競争環境と投資負担を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=3920 / 株探決算:https://kabutan.jp/stock/finance?code=3920
3994	マネーフォワード	未保有	対象外	3973	対象外	138.79	5.27	4.10	0.00	26.06	-5.27	情報・通信業	📈【B】 業績予想修正・優待導入だがPER高・無配。 【ファンダメンタル確認値】現在値3973、PER138.79、PBR5.27、ROE4.10、配当利回り0.00、自己資本比率26.06、営業利益率-5.27 【直近材料補強 2026/06/29】バリュエーション: PER138.79倍で期待先行/割高感に注意、PBR5.27倍で資産面の割安感は薄い。 クオリティ: ROE4.1%で資本効率改善待ち、営業利益率-5.27%で採算改善が課題。 株主還元: 配当利回り0%で還元妙味は弱め。 直近イベント解釈: 優待関連の個人投資家需給材料。 セクター材料: AI/クラウド/通信値上げ・DX投資・サイバーセキュリティがテーマ。競争環境と投資負担を確認。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=3994 / 株探決算:https://kabutan.jp/stock/finance?code=3994
4088	エア・ウォーター	未保有	対象外	2778	対象外	赤字	1.43	赤字	2.70	38.56	6.99	化学	📉【D】 有報提出期限延長検討・調査委員会。 【ファンダメンタル確認値】現在値2778、PER赤字、PBR1.43、ROE赤字、配当利回り2.70、自己資本比率38.56、営業利益率6.99 【直近材料補強 2026/06/29】直近イベント解釈: 業績悪化/減損系のネガティブ材料。 セクター材料: 半導体/EV/電池材料・中国市況・原燃料価格がテーマ。市況底打ちと利益率回復が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4088 / 株探決算:https://kabutan.jp/stock/finance?code=4088
4188	三菱ケミカルグループ	未保有	対象外	1086	対象外	11.62	0.84	7.21	2.95	29.98	0.81	化学	📉【D】 26/3期営業利益-78.75。 【ファンダメンタル確認値】現在値1086、PER11.62、PBR0.84、ROE7.21、配当利回り2.95、自己資本比率29.98、営業利益率0.81 【直近材料補強 2026/06/29】バリュエーション: PER11.62倍は中立圏、PBR0.84倍でPBR1倍割れ改善余地。 クオリティ: 営業利益率0.81%で採算改善が課題。 セクター材料: 半導体/EV/電池材料・中国市況・原燃料価格がテーマ。市況底打ちと利益率回復が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4188 / 株探決算:https://kabutan.jp/stock/finance?code=4188
4203	住友ベークライト	未保有	対象外	7616	対象外	23.45	1.92	8.21	1.58	71.71	11.09	化学	📈【B】 決算・株式報酬中心。 【ファンダメンタル確認値】現在値7616、PER23.45、PBR1.92、ROE8.21、配当利回り1.58、自己資本比率71.71、営業利益率11.09 【直近材料補強 2026/06/29】バリュエーション: PER23.45倍は中立圏。 クオリティ: 自己資本比率71.71%で財務安全性高め。 セクター材料: 半導体/EV/電池材料・中国市況・原燃料価格がテーマ。市況底打ちと利益率回復が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4203 / 株探決算:https://kabutan.jp/stock/finance?code=4203
4229	群栄化学工業	未保有	対象外	4765	対象外	16.03	0.58	4.25	2.10	80.35	7.51	化学	➖【C】 PBR0.58・財務厚いがROE低め。 【ファンダメンタル確認値】現在値4765、PER16.03、PBR0.58、ROE4.25、配当利回り2.10、自己資本比率80.35、営業利益率7.51 【直近材料補強 2026/06/29】バリュエーション: PER16.03倍は中立圏、PBR0.58倍でPBR1倍割れ改善余地。 クオリティ: ROE4.25%で資本効率改善待ち、自己資本比率80.35%で財務安全性高め。 セクター材料: 半導体/EV/電池材料・中国市況・原燃料価格がテーマ。市況底打ちと利益率回復が焦点。 次回チェック: PBR1倍割れでもROE低めのため、資本効率改善策が出るか確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4229 / 株探決算:https://kabutan.jp/stock/finance?code=4229
4293	セプテーニ・ホールディングス	未保有	対象外	455	対象外	17.98	1.44	8.01	3.96	64.69	13.99	サービス業	📈【B】 業績予想修正と子会社異動。 【ファンダメンタル確認値】現在値455、PER17.98、PBR1.44、ROE8.01、配当利回り3.96、自己資本比率64.69、営業利益率13.99 【直近材料補強 2026/06/29】バリュエーション: PER17.98倍は中立圏。 クオリティ: 自己資本比率64.69%で財務安全性高め。 株主還元: 配当利回り3.96%でインカム妙味。 セクター材料: 人材/警備/教育/外食/レジャーなど個社差が大きい。人件費上昇と価格転嫁が焦点。 次回チェック: 配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4293 / 株探決算:https://kabutan.jp/stock/finance?code=4293
4327	日本エス・エイチ・エル	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	サービス業	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【追加確認】通常の上場株比較からは除外候補。ランキング投入時は「投資対象外/参考扱い」とし、代替上場銘柄を確認。	IRBANK/株探/会社IR
4385	メルカリ	未保有	対象外	3763	対象外	23.77	5.17	26.31	0.00	17.83	14.45	情報・通信業	📈【B】 業績予想修正・高ROEだが無配・高PBR。 【ファンダメンタル確認値】現在値3763、PER23.77、PBR5.17、ROE26.31、配当利回り0.00、自己資本比率17.83、営業利益率14.45 【直近材料補強 2026/06/29】バリュエーション: PER23.77倍は中立圏、PBR5.17倍で資産面の割安感は薄い。 クオリティ: ROE26.31%で資本効率は強め、自己資本比率17.83%で財務レバレッジに注意。 株主還元: 配当利回り0%で還元妙味は弱め。 セクター材料: AI/クラウド/通信値上げ・DX投資・サイバーセキュリティがテーマ。競争環境と投資負担を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4385 / 株探決算:https://kabutan.jp/stock/finance?code=4385
4502	武田薬品工業	未保有	対象外	5087	対象外	48.41	1.08	2.23	4.01	47.90	7.48	医薬品	📉【D】 引当金計上・決算短信修正、ROE低い。 【ファンダメンタル確認値】現在値5087、PER48.41、PBR1.08、ROE2.23、配当利回り4.01、自己資本比率47.90、営業利益率7.48 【直近材料補強 2026/06/29】バリュエーション: PER48.41倍で期待先行/割高感に注意。 クオリティ: ROE2.23%で資本効率改善待ち。 株主還元: 配当利回り4.01%で高配当候補。 セクター材料: 新薬パイプライン・薬価改定・訴訟/副作用リスクがテーマ。大型品特許切れも確認。 次回チェック: 高PERを正当化する成長材料が追加で必要、配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4502 / 株探決算:https://kabutan.jp/stock/finance?code=4502
4528	小野薬品工業	未保有	対象外	2346	対象外	15.53	1.30	8.35	3.41	76.88	12.27	医薬品	📈【B】 財務安全性・配当良好。 【ファンダメンタル確認値】現在値2346、PER15.53、PBR1.30、ROE8.35、配当利回り3.41、自己資本比率76.88、営業利益率12.27 【直近材料補強 2026/06/29】バリュエーション: PER15.53倍は中立圏。 クオリティ: 自己資本比率76.88%で財務安全性高め。 株主還元: 配当利回り3.41%でインカム妙味。 セクター材料: 新薬パイプライン・薬価改定・訴訟/副作用リスクがテーマ。大型品特許切れも確認。 次回チェック: 配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4528 / 株探決算:https://kabutan.jp/stock/finance?code=4528
4536	参天製薬	未保有	対象外	2045	対象外	16.45	2.21	13.47	2.05	70.20	16.39	医薬品	📈【B】 ROE・財務良好、決算中心。 【ファンダメンタル確認値】現在値2045、PER16.45、PBR2.21、ROE13.47、配当利回り2.05、自己資本比率70.20、営業利益率16.39 【直近材料補強 2026/06/29】バリュエーション: PER16.45倍は中立圏。 クオリティ: ROE13.47%で資本効率は強め、営業利益率16.39%で高収益、自己資本比率70.2%で財務安全性高め。 セクター材料: 新薬パイプライン・薬価改定・訴訟/副作用リスクがテーマ。大型品特許切れも確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4536 / 株探決算:https://kabutan.jp/stock/finance?code=4536
4543	テルモ	未保有	対象外	2212	対象外	19.74	2.06	10.43	1.63	68.53	15.22	精密機器	📈【B】 安定収益、決算中心。 【ファンダメンタル確認値】現在値2212、PER19.74、PBR2.06、ROE10.43、配当利回り1.63、自己資本比率68.53、営業利益率15.22 【直近材料補強 2026/06/29】バリュエーション: PER19.74倍は中立圏。 クオリティ: 営業利益率15.22%で高収益、自己資本比率68.53%で財務安全性高め。 セクター材料: 医療機器・半導体/計測・円安・中国需要がテーマ。高利益率事業の伸びを確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4543 / 株探決算:https://kabutan.jp/stock/finance?code=4543
4555	沢井製薬	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	医薬品	➖【C】 旧沢井製薬。持株会社体制移行前の旧銘柄。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【追加確認】通常の上場株比較からは除外候補。ランキング投入時は「投資対象外/参考扱い」とし、代替上場銘柄を確認。	IRBANK/株探/会社IR
4568	第一三共	未保有	対象外	2536	対象外	17.75	2.77	15.62	3.94	41.55	10.79	医薬品	📈【A】 ROE15.62・配当3.94。 【ファンダメンタル確認値】現在値2536、PER17.75、PBR2.77、ROE15.62、配当利回り3.94、自己資本比率41.55、営業利益率10.79 【直近材料補強 2026/06/29】バリュエーション: PER17.75倍は中立圏、PBR2.77倍で資産面の割安感は薄い。 クオリティ: ROE15.62%で資本効率は強め。 株主還元: 配当利回り3.94%でインカム妙味。 セクター材料: 新薬パイプライン・薬価改定・訴訟/副作用リスクがテーマ。大型品特許切れも確認。 次回チェック: 配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4568 / 株探決算:https://kabutan.jp/stock/finance?code=4568
4666	パーク２４	未保有	対象外	2066	対象外	8.02	3.19	39.79	3.15	32.12	9.25	不動産業	📈【A】 業績予想修正・優待再開、ROE39.79。 【ファンダメンタル確認値】現在値2066、PER8.02、PBR3.19、ROE39.79、配当利回り3.15、自己資本比率32.12、営業利益率9.25 【直近材料補強 2026/06/29】バリュエーション: PER8.02倍で利益面は割安寄り、PBR3.19倍で資産面の割安感は薄い。 クオリティ: ROE39.79%で資本効率は強め。 株主還元: 配当利回り3.15%でインカム妙味。 直近イベント解釈: 優待関連の個人投資家需給材料。 セクター材料: 金利・都心再開発・賃料上昇・インバウンド/ホテルがテーマ。含み益と金利感応度を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4666 / 株探決算:https://kabutan.jp/stock/finance?code=4666
4689	Ｚホールディングス	未保有	対象外	410	対象外	14.52	0.94	6.46	2.68	26.76	16.76	情報・通信業	📈【B】 M&A材料あり、決算短信訂正もあり。 【ファンダメンタル確認値】現在値410、PER14.52、PBR0.94、ROE6.46、配当利回り2.68、自己資本比率26.76、営業利益率16.76 【直近材料補強 2026/06/29】バリュエーション: PER14.52倍は中立圏、PBR0.94倍でPBR1倍割れ改善余地。 クオリティ: 営業利益率16.76%で高収益。 直近イベント解釈: M&A/提携による成長・再編材料。 セクター材料: AI/クラウド/通信値上げ・DX投資・サイバーセキュリティがテーマ。競争環境と投資負担を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4689 / 株探決算:https://kabutan.jp/stock/finance?code=4689
4755	楽天グループ	未保有	対象外	690	対象外	赤字	1.66	赤字	0.00	3.07	0.58	サービス業	📉【D】 赤字・無配・自己資本比率低い。 【ファンダメンタル確認値】現在値690、PER赤字、PBR1.66、ROE赤字、配当利回り0.00、自己資本比率3.07、営業利益率0.58 【直近材料補強 2026/06/29】クオリティ: 営業利益率0.58%で採算改善が課題、自己資本比率3.07%で財務レバレッジに注意。 株主還元: 配当利回り0%で還元妙味は弱め。 直近イベント解釈: 業績悪化/減損系のネガティブ材料。 セクター材料: 人材/警備/教育/外食/レジャーなど個社差が大きい。人件費上昇と価格転嫁が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4755 / 株探決算:https://kabutan.jp/stock/finance?code=4755
4768	大塚商会	未保有	対象外	2764	対象外	17.15	2.67	15.58	3.44	52.35	6.71	情報・通信業	📈【A】 ROE・配当・財務バランス良好。 【ファンダメンタル確認値】現在値2764、PER17.15、PBR2.67、ROE15.58、配当利回り3.44、自己資本比率52.35、営業利益率6.71 【直近材料補強 2026/06/29】バリュエーション: PER17.15倍は中立圏、PBR2.67倍で資産面の割安感は薄い。 クオリティ: ROE15.58%で資本効率は強め。 株主還元: 配当利回り3.44%でインカム妙味。 セクター材料: AI/クラウド/通信値上げ・DX投資・サイバーセキュリティがテーマ。競争環境と投資負担を確認。 次回チェック: 配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4768 / 株探決算:https://kabutan.jp/stock/finance?code=4768
4826	ＣＩＪ	未保有	対象外	497	対象外	16.69	1.88	11.28	4.02	75.83	8.07	情報・通信業	📈【A】 業績・配当予想修正、自社株買い終了。 【ファンダメンタル確認値】現在値497、PER16.69、PBR1.88、ROE11.28、配当利回り4.02、自己資本比率75.83、営業利益率8.07 【直近材料補強 2026/06/29】バリュエーション: PER16.69倍は中立圏。 クオリティ: 自己資本比率75.83%で財務安全性高め。 株主還元: 配当利回り4.02%で高配当候補、既存材料に明示的な還元関連の記載あり、継続性を確認。 セクター材料: AI/クラウド/通信値上げ・DX投資・サイバーセキュリティがテーマ。競争環境と投資負担を確認。 次回チェック: 配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4826 / 株探決算:https://kabutan.jp/stock/finance?code=4826
4837	シダックス	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	サービス業	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【追加確認】通常の上場株比較からは除外候補。ランキング投入時は「投資対象外/参考扱い」とし、代替上場銘柄を確認。	IRBANK/株探/会社IR
4911	資生堂	未保有	対象外	2505	対象外	23.83	1.65	6.92	2.40	47.78	-2.97	化学	➖【C】 黒字回復予想だが強材料限定。 【ファンダメンタル確認値】現在値2505、PER23.83、PBR1.65、ROE6.92、配当利回り2.40、自己資本比率47.78、営業利益率-2.97 【直近材料補強 2026/06/29】バリュエーション: PER23.83倍は中立圏。 クオリティ: 営業利益率-2.97%で採算改善が課題。 セクター材料: 半導体/EV/電池材料・中国市況・原燃料価格がテーマ。市況底打ちと利益率回復が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4911 / 株探決算:https://kabutan.jp/stock/finance?code=4911
4912	ライオン	未保有	対象外	1725	対象外	19.09	1.48	7.74	1.97	62.11	6.87	化学	➖【C】 財務安定、強材料限定。 【ファンダメンタル確認値】現在値1725、PER19.09、PBR1.48、ROE7.74、配当利回り1.97、自己資本比率62.11、営業利益率6.87 【直近材料補強 2026/06/29】バリュエーション: PER19.09倍は中立圏。 クオリティ: 自己資本比率62.11%で財務安全性高め。 セクター材料: 半導体/EV/電池材料・中国市況・原燃料価格がテーマ。市況底打ちと利益率回復が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4912 / 株探決算:https://kabutan.jp/stock/finance?code=4912
4921	ファンケル	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	化学	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【追加確認】通常の上場株比較からは除外候補。ランキング投入時は「投資対象外/参考扱い」とし、代替上場銘柄を確認。	IRBANK/株探/会社IR
4922	コーセー	未保有	対象外	5024	対象外	23.62	1.02	4.33	2.99	72.14	5.38	化学	➖【C】 財務厚いがROE低め。 【ファンダメンタル確認値】現在値5024、PER23.62、PBR1.02、ROE4.33、配当利回り2.99、自己資本比率72.14、営業利益率5.38 【直近材料補強 2026/06/29】バリュエーション: PER23.62倍は中立圏。 クオリティ: ROE4.33%で資本効率改善待ち、自己資本比率72.14%で財務安全性高め。 セクター材料: 半導体/EV/電池材料・中国市況・原燃料価格がテーマ。市況底打ちと利益率回復が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4922 / 株探決算:https://kabutan.jp/stock/finance?code=4922
4928	ノエビアホールディングス	未保有	対象外	4365	対象外	18.18	3.05	16.78	5.27	68.11	17.11	化学	📈【A】 ROE16.78・配当5.27。 【ファンダメンタル確認値】現在値4365、PER18.18、PBR3.05、ROE16.78、配当利回り5.27、自己資本比率68.11、営業利益率17.11 【直近材料補強 2026/06/29】バリュエーション: PER18.18倍は中立圏、PBR3.05倍で資産面の割安感は薄い。 クオリティ: ROE16.78%で資本効率は強め、営業利益率17.11%で高収益、自己資本比率68.11%で財務安全性高め。 株主還元: 配当利回り5.27%で高配当候補。 セクター材料: 半導体/EV/電池材料・中国市況・原燃料価格がテーマ。市況底打ちと利益率回復が焦点。 次回チェック: 配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4928 / 株探決算:https://kabutan.jp/stock/finance?code=4928
4967	小林製薬	未保有	対象外	5580	対象外	41.48	1.99	4.81	1.90	81.65	9.00	化学	📉【D】 PER高・ROE低、信頼回復リスク。 【ファンダメンタル確認値】現在値5580、PER41.48、PBR1.99、ROE4.81、配当利回り1.90、自己資本比率81.65、営業利益率9.00 【直近材料補強 2026/06/29】バリュエーション: PER41.48倍で期待先行/割高感に注意。 クオリティ: ROE4.81%で資本効率改善待ち、自己資本比率81.65%で財務安全性高め。 セクター材料: 半導体/EV/電池材料・中国市況・原燃料価格がテーマ。市況底打ちと利益率回復が焦点。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=4967 / 株探決算:https://kabutan.jp/stock/finance?code=4967
5015	ビーピー・カストロール	未保有	対象外	1008	対象外	20.26	2.36	11.65	4.96	76.23	10.63	石油・石炭製品	➖【C】 高配当・高自己資本だが中東情勢リスク。 【ファンダメンタル確認値】現在値1008、PER20.26、PBR2.36、ROE11.65、配当利回り4.96、自己資本比率76.23、営業利益率10.63 【直近材料補強 2026/06/29】バリュエーション: PER20.26倍は中立圏。 クオリティ: 自己資本比率76.23%で財務安全性高め。 株主還元: 配当利回り4.96%で高配当候補。 セクター材料: 原油価格・精製マージン・在庫評価・脱炭素投資がテーマ。市況依存度が高い。 次回チェック: 配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=5015 / 株探決算:https://kabutan.jp/stock/finance?code=5015
